GEO_ID,NAME,B01003_001E,B01003_001M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1600000US2951716,"Newburg city, Missouri",492,148
1600000US2977200,"Washburn city, Missouri",491,122
1600000US2922474,"Eolia village, Missouri",489,94
1600000US2967196,"Shelbyville city, Missouri",489,85
1600000US2953858,"Oakview village, Missouri",482,113
1600000US2975886,"Verona town, Missouri",481,150
1600000US2953174,"Northmoor city, Missouri",481,195
1600000US2956414,"Pasadena Park village, Missouri",480,104
1600000US2935186,"Indian Point village, Missouri",477,120
1600000US2912592,"Center city, Missouri",477,121
1600000US2923518,"Fairview town, Missouri",471,132
1600000US2923428,"Fair Play city, Missouri",471,137
1600000US2960140,"Purcell city, Missouri",468,154
1600000US2947036,"Meadville city, Missouri",466,76
1600000US2953650,"Oak Grove Village village, Missouri",464,153
1600000US2967628,"Shoal Creek Drive village, Missouri",463,147
1600000US2936368,"Jamestown town, Missouri",462,122
1600000US2918658,"Dearborn city, Missouri",461,100
1600000US2929332,"Green Ridge city, Missouri",452,89
